Feature,Importance
CreditScore,0.14311251909397765
Gender,0.019075513834854296
Age,0.2384123797791865
Tenure,0.08132720978755714
Balance,0.14141716401245244
NumOfProducts,0.13050663236464952
HasCrCard,0.01928957861586029
IsActiveMember,0.04172442153605359
EstimatedSalary,0.1457572544672194
Geography_Germany,0.025627488451075164
Geography_Spain,0.013749838057113963
